code,description,month,year,value_uss,quantity_kg
030357,"Espadarte (Xiphias gladius), congelado",06,2016,19539,5010
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2016,714217,126171
030614,Caranguejos congelados,06,2016,118511,20475
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",06,2016,218672,33407
030119,Outros peixes ornamentais vivos,06,2016,37701,357
030489,"Filés de outros peixes, congelados",06,2016,13632,974
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",06,2016,5298,952
030231,"Atuns-brancos ou germões, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",06,2016,1550,775
030461,"Filés de tilápias (Oreochromis spp.), congelados",06,2016,124603,18281
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2016,1736910,586152
030343,"Bonitos-listrados ou do-ventre-raiado, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",05,2016,1415235,874854
030572,"Cabeças, caudas e bexigas natatórias, de peixes",05,2016,1413288,34115
030289,"Outros peixes, exceto fígados, ovas e sêmen",05,2016,405222,94604
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",05,2016,321228,39423
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",05,2016,919411,128852
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",05,2016,471815,76414
030111,Peixes ornamentais de água doce,05,2016,490370,4677
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2016,427494,154288
030617,"Outros camarões, congelados",05,2016,159696,15600
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",05,2016,226292,28240
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",05,2016,579254,78115
030382,"Raias (rajidae), congeladas",05,2016,274870,94420
030489,"Filés de outros peixes, congelados",05,2016,197292,20935
030474,"Filés de merluzas e abroteas, congelados",05,2016,23108,10980
030357,"Espadarte (Xiphias gladius), congelado",05,2016,136887,27013
030342,"Albacoras e atuns-de-barbatana-amarela, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",05,2016,1272,493
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2016,1201263,199047
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2016,143868,28641
030571,Barbatanas de tubarão,05,2016,69042,2188
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2016,687653,409434
030239,"Outros atuns frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",05,2016,242345,34086
030119,Outros peixes ornamentais vivos,05,2016,36220,449
030344,"Albacoras-bandolim (patudos), congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",05,2016,3638,1410
030819,"Pepinos-do-mar, em outras formas",05,2016,900,450
030461,"Filés de tilápias (Oreochromis spp.), congelados",05,2016,5376,908
030614,Caranguejos congelados,05,2016,239366,40950
030289,"Outros peixes, exceto fígados, ovas e sêmen",04,2016,418769,95303
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2016,1583525,461013
030572,"Cabeças, caudas e bexigas natatórias, de peixes",04,2016,1571170,37164
