code,description,month,year,value_uss,quantity_kg
030389,"Outros peixes, exceto fígados, ovas e sêmen",08,2016,305664,165073
030259,"Outros peixes das famílias bregmacerotidae, gadidae, etc.",08,2016,1001878,116662
030389,"Outros peixes, exceto fígados, ovas e sêmen",08,2016,635691,118962
030247,"Espadarte (Xiphias gladius), frescos ou refrigerados",08,2016,642230,109172
030111,Peixes ornamentais de água doce,08,2016,453973,4569
030289,"Outros peixes, exceto fígados, ovas e sêmen",08,2016,447083,99002
030342,"Albacoras e atuns-de-barbatana-amarela, congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",08,2016,52088,27560
030431,"Filés de tilápias (frescos, refrigerados ou congelados)",08,2016,623608,84788
030234,"Albacoras-bandolim (patudos), frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",08,2016,411393,45292
030232,"Albacoras ou atuns-de-barbatanas-amarelas, frescos ou refrigerados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",08,2016,242648,28059
030389,"Outros peixes, exceto fígados, ovas e sêmen",08,2016,582669,362469
030489,"Filés de outros peixes, congelados",08,2016,135060,10807
030382,"Raias (rajidae), congeladas",08,2016,519516,172930
030571,Barbatanas de tubarão,08,2016,156430,4733
030489,"Filés de outros peixes, congelados",08,2016,275470,25200
030454,"Filé de espadartes (Xiphias gladius), fresco ou refrigerado",08,2016,34848,5694
030119,Outros peixes ornamentais vivos,08,2016,48025,542
030489,"Filés de outros peixes, congelados",08,2016,8190,573
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",08,2016,37292,14860
