code,description,month,year,value_uss,quantity_kg
030289,"Outros peixes, exceto fígados, ovas e sêmen",02,2014,2500,1000
030469,"Filé de peixe cabeça-de-serpente, congelado",01,2014,881447,458710
030549,"Outros peixes, defumados, mesmo em filés",01,2014,132998,9000
030539,"Filés de outros peixes, não defumado",01,2014,105990,26000
030432,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), frescos ou refrigerados",01,2014,61272,24500
030749,"Sibas, sepiolas, potas e lulas, congelados, secos, salgados ou em salmoura",01,2014,26432,10000
030289,"Outros peixes, exceto fígados, ovas e sêmen",01,2014,26400,13200
030289,"Outros peixes, exceto fígados, ovas e sêmen",01,2014,11520,4800
030289,"Outros peixes, exceto fígados, ovas e sêmen",01,2014,1920,800
030289,"Outros peixes, exceto fígados, ovas e sêmen",01,2014,1000,400
030214,"Salmão-do-atlântico e salmão-do-danúbio, fresco ou refrigerado",07,2015,29717715,5971883
030353,"Sardinhas, congeladas",07,2015,540125,789976
030474,"Filés de merluzas e abroteas, congelados",07,2015,5526156,1714958
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",07,2015,8884613,4633374
030481,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelados",07,2015,3779347,670906
030475,"Filé de merluza-do-alasca (Theragra chalcogramma), congelados",07,2015,2019508,1009074
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",07,2015,1491418,393000
030562,"Bacalhaus salgados e em salmoura, não secos nem defumados",07,2015,1593509,196875
030313,"Salmão-do-atlântico e salmão-do-danúbio, congelados",07,2015,1976119,589418
030381,Cação e outros tubarões,07,2015,848181,363980
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",07,2015,217789,45000
030363,"Bacalhau-do-atlântico e bacalhau-do-pacífico, congelado",07,2015,1406656,138120
030489,"Filés de outros peixes, congelados",07,2015,4648104,2174754
030441,Filés de salmões-do-pacifico e salmão-do-danúbio,07,2015,1706657,227137
030381,Cação e outros tubarões,07,2015,745817,486650
030532,"Filés de peixes de famílias específicas, não defumado",07,2015,426750,49470
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",07,2015,266533,63215
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2015,924389,289972
030551,"Bacalhaus secos, mesmo salgados, mas não defumados",07,2015,2275213,378669
030473,"Filé de saithe (Pollachius virens), congelado",07,2015,214464,61756
030471,"Filé de bacalhau-do-atlântico, da-groenlândia, do-pacífico, congelado",07,2015,626904,141533
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2015,257365,119000
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2015,174659,119940
030354,"Cavalinhas, congeladas",07,2015,22939,26000
030366,"Merluzas e abroteas (Merluccius, Urophycis), congeladas",07,2015,157190,101000
030312,"Outros salmões-do-pacífico, congelados",07,2015,99141,26496
030365,"Saithe (Pollachius virens), congelado",07,2015,69625,12820
030389,"Outros peixes, exceto fígados, ovas e sêmen",07,2015,30910,17000
030495,"Peixes de famílias diversas, exceto a merluza-do-alasca",07,2015,295889,28500
030351,"Arenques (Clupea arengus, Clupea pallasii) congelados, exceto fígado, ovas, sêmen, ou filés e outras carnes da posição 0304",07,2015,75758,60400
030289,"Outros peixes, exceto fígados, ovas e sêmen",07,2015,26000,20000
030119,Outros peixes ornamentais vivos,07,2015,29631,1416
030890,"Outros invertebrados aquáticos (exceto crustáceos e moluscos), secos, congelados, etc",07,2015,10861,680
030111,Peixes ornamentais de água doce,07,2015,14742,586
030214,"Salmão-do-atlântico e salmão-do-danúbio, fresco ou refrigerado",06,2015,30838462,6472702
030353,"Sardinhas, congeladas",06,2015,1108908,1702788
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",06,2015,4357197,2326500
030474,"Filés de merluzas e abroteas, congelados",06,2015,5906529,1845726
030481,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelados",06,2015,2892990,465090
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",06,2015,701075,182000
030363,"Bacalhau-do-atlântico e bacalhau-do-pacífico, congelado",06,2015,549113,49867
030381,Cação e outros tubarões,06,2015,1043098,434758
030562,"Bacalhaus salgados e em salmoura, não secos nem defumados",06,2015,1230713,161025
030313,"Salmão-do-atlântico e salmão-do-danúbio, congelados",06,2015,1389731,372138
030475,"Filé de merluza-do-alasca (Theragra chalcogramma), congelados",06,2015,1660079,839730
030381,Cação e outros tubarões,06,2015,838304,488436
030441,Filés de salmões-do-pacifico e salmão-do-danúbio,06,2015,2009534,267112
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",06,2015,116906,25000
030473,"Filé de saithe (Pollachius virens), congelado",06,2015,84465,22616
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",06,2015,253809,56500
030489,"Filés de outros peixes, congelados",06,2015,3468220,1310453
030551,"Bacalhaus secos, mesmo salgados, mas não defumados",06,2015,1887806,278575
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2015,671817,279080
030354,"Cavalinhas, congeladas",06,2015,138646,134000
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2015,163405,111120
030312,"Outros salmões-do-pacífico, congelados",06,2015,467496,128902
030471,"Filé de bacalhau-do-atlântico, da-groenlândia, do-pacífico, congelado",06,2015,980679,198810
030314,"Trutas (Salmo trutta, Oncorhynchus mykiss, etc.), congeladas",06,2015,225000,45000
030532,"Filés de peixes de famílias específicas, não defumado",06,2015,149427,25000
030541,"Salmões-do-pacífico, do-atlântico e do-danúbio, defumados, mesmo em filés",06,2015,83395,4400
030366,"Merluzas e abroteas (Merluccius, Urophycis), congeladas",06,2015,317253,202980
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2015,87240,41200
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2015,148146,50000
030389,"Outros peixes, exceto fígados, ovas e sêmen",06,2015,259366,116000
030365,"Saithe (Pollachius virens), congelado",06,2015,51857,9380
030119,Outros peixes ornamentais vivos,06,2015,19244,894
030890,"Outros invertebrados aquáticos (exceto crustáceos e moluscos), secos, congelados, etc",06,2015,20493,990
030111,Peixes ornamentais de água doce,06,2015,3067,213
030214,"Salmão-do-atlântico e salmão-do-danúbio, fresco ou refrigerado",05,2015,24490666,5103506
030353,"Sardinhas, congeladas",05,2015,678025,909104
030474,"Filés de merluzas e abroteas, congelados",05,2015,5575127,1692459
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",05,2015,1892710,953000
030363,"Bacalhau-do-atlântico e bacalhau-do-pacífico, congelado",05,2015,1147201,107690
030489,"Filés de outros peixes, congelados",05,2015,2378912,355527
030481,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelados",05,2015,3997027,633848
030381,Cação e outros tubarões,05,2015,901806,366708
030562,"Bacalhaus salgados e em salmoura, não secos nem defumados",05,2015,464515,65175
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",05,2015,329752,58625
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",05,2015,867467,202984
030441,Filés de salmões-do-pacifico e salmão-do-danúbio,05,2015,1415078,178807
030313,"Salmão-do-atlântico e salmão-do-danúbio, congelados",05,2015,499534,135660
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2015,333918,141192
030475,"Filé de merluza-do-alasca (Theragra chalcogramma), congelados",05,2015,1780346,835230
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",05,2015,311467,46505
030381,Cação e outros tubarões,05,2015,652691,386739
030471,"Filé de bacalhau-do-atlântico, da-groenlândia, do-pacífico, congelado",05,2015,764137,152700
030312,"Outros salmões-do-pacífico, congelados",05,2015,768455,211316
030473,"Filé de saithe (Pollachius virens), congelado",05,2015,228546,65998
030314,"Trutas (Salmo trutta, Oncorhynchus mykiss, etc.), congeladas",05,2015,225000,45000
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2015,429451,267320
030365,"Saithe (Pollachius virens), congelado",05,2015,49431,7770
030479,"Outros filés de peixes, congelados",05,2015,218044,58876
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2015,69120,34000
030366,"Merluzas e abroteas (Merluccius, Urophycis), congeladas",05,2015,315433,152499
030367,Merluza-do-alasca (Theragra chalcogramma),05,2015,34550,21773
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2015,71600,28000
030119,Outros peixes ornamentais vivos,05,2015,16830,612
030389,"Outros peixes, exceto fígados, ovas e sêmen",05,2015,135350,64000
030890,"Outros invertebrados aquáticos (exceto crustáceos e moluscos), secos, congelados, etc",05,2015,4452,256
030111,Peixes ornamentais de água doce,05,2015,10725,760
030214,"Salmão-do-atlântico e salmão-do-danúbio, fresco ou refrigerado",04,2015,31252092,6318498
030462,"Filés de bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), congelado",04,2015,843113,466000
030353,"Sardinhas, congeladas",04,2015,1990223,3012080
030474,"Filés de merluzas e abroteas, congelados",04,2015,5689838,1745171
030363,"Bacalhau-do-atlântico e bacalhau-do-pacífico, congelado",04,2015,1107608,121460
030475,"Filé de merluza-do-alasca (Theragra chalcogramma), congelados",04,2015,4234697,1859139
030481,"Filé de salmão-do-pacífico, do-danúbio, do-atlântico, congelados",04,2015,4379914,673989
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",04,2015,2829746,685105
030562,"Bacalhaus salgados e em salmoura, não secos nem defumados",04,2015,822364,87905
030381,Cação e outros tubarões,04,2015,1086779,412650
030313,"Salmão-do-atlântico e salmão-do-danúbio, congelados",04,2015,658166,168626
030441,Filés de salmões-do-pacifico e salmão-do-danúbio,04,2015,1685697,204110
030489,"Filés de outros peixes, congelados",04,2015,1962725,353278
030312,"Outros salmões-do-pacífico, congelados",04,2015,503269,119432
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2015,996804,342245
030381,Cação e outros tubarões,04,2015,706022,424714
030473,"Filé de saithe (Pollachius virens), congelado",04,2015,365871,98628
030569,"Outros peixes salgados e em salmoura, não secos nem defumados",04,2015,126128,25000
030499,"Carnes de outros peixes, exceto filés, mesmo picadas, congeladas",04,2015,639497,112860
030551,"Bacalhaus secos, mesmo salgados, mas não defumados",04,2015,2037743,357386
030532,"Filés de peixes de famílias específicas, não defumado",04,2015,659644,67470
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2015,192407,121280
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2015,129561,59400
030367,Merluza-do-alasca (Theragra chalcogramma),04,2015,362225,240495
030471,"Filé de bacalhau-do-atlântico, da-groenlândia, do-pacífico, congelado",04,2015,2121572,407352
030354,"Cavalinhas, congeladas",04,2015,356412,313920
030479,"Outros filés de peixes, congelados",04,2015,69627,23009
030366,"Merluzas e abroteas (Merluccius, Urophycis), congeladas",04,2015,458880,271778
030486,"Filés de arenques (Clupea harengus, Clupea pallasii), congelados",04,2015,11173,8000
030541,"Salmões-do-pacífico, do-atlântico e do-danúbio, defumados, mesmo em filés",04,2015,88473,5155
030119,Outros peixes ornamentais vivos,04,2015,23504,986
030495,"Peixes de famílias diversas, exceto a merluza-do-alasca",04,2015,55137,7340
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2015,15200,7000
030389,"Outros peixes, exceto fígados, ovas e sêmen",04,2015,27200,18000
030111,Peixes ornamentais de água doce,04,2015,4713,313
